iter	Passed	Remaining
615	1105	689
616	1107	687
617	1108	685
618	1109	683
619	1111	681
620	1112	679
621	1114	677
622	1115	675
623	1117	673
624	1118	671
625	1120	669
626	1121	667
627	1123	665
628	1125	663
629	1126	661
630	1128	659
631	1129	657
632	1131	655
633	1132	653
634	1134	652
635	1135	649
636	1137	648
637	1139	646
638	1141	644
639	1143	642
640	1144	641
641	1146	639
642	1147	637
643	1148	635
644	1150	633
645	1151	631
646	1153	629
647	1155	627
648	1156	625
649	1157	623
650	1159	621
651	1160	619
652	1162	617
653	1163	615
654	1164	613
655	1166	611
656	1167	609
657	1169	607
658	1170	605
659	1172	603
660	1173	601
661	1175	599
662	1176	598
663	1178	596
664	1179	594
665	1181	592
666	1182	590
667	1184	588
668	1186	587
669	1188	585
670	1189	583
671	1191	581
672	1192	579
673	1193	577
674	1195	575
675	1196	573
676	1198	571
677	1200	569
678	1201	568
679	1203	566
680	1204	564
681	1206	562
682	1207	560
683	1209	558
684	1211	556
685	1212	555
686	1214	553
687	1215	551
688	1217	549
689	1219	547
690	1220	545
691	1221	543
692	1223	542
693	1225	540
694	1226	538
695	1228	536
696	1229	534
697	1231	532
698	1233	531
699	1234	529
700	1236	527
701	1237	525
702	1239	523
703	1240	521
704	1242	519
705	1244	518
706	1245	516
707	1247	514
708	1248	512
709	1250	510
710	1251	508
711	1252	506
712	1254	504
713	1256	503
714	1257	501
715	1259	499
716	1260	497
717	1262	495
718	1263	493
719	1265	492
720	1266	490
721	1268	488
722	1269	486
723	1271	484
724	1272	482
725	1274	480
726	1275	479
727	1277	477
728	1279	475
729	1280	473
730	1281	471
731	1283	469
732	1284	468
733	1286	466
734	1287	464
735	1289	462
736	1290	460
737	1292	458
738	1293	456
739	1295	455
740	1296	453
741	1298	451
742	1299	449
743	1301	447
744	1302	445
745	1304	444
746	1305	442
747	1307	440
748	1308	438
749	1310	436
750	1311	434
751	1313	433
752	1314	431
753	1316	429
754	1317	427
755	1319	425
756	1320	423
